0;zero
0000;zero zero zero zero
0001;zero zero zero one
1;one
2;two
3;three
4;four
5;five
6;six
7;seven
8;eight
9;nine
10;one zero
11;one one
0123456789;zero one two three four five six seven eight nine
4283179056;four two eight three one seven nine zero five six
1234567890123456789012345678901234567890123456789012345678901;one two three four five six seven eight nine zero one two three four five six seven eight nine zero one two three four five six seven eight nine zero one two three four five six seven eight nine zero one two three four five six seven eight nine zero one two three four five six seven eight nine zero one
;;(an empty input string should result in an empty output string)
